rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.25,0.25,94.79
2,2,Bayern Munich,German Bundesliga,3.43,0.43,93.61
3,3,Liverpool,Barclays Premier League,2.85,0.31,91.85
4,5,Barcelona,Spanish Primera Division,2.83,0.44,89.63
5,4,Paris Saint-Germain,French Ligue 1,2.9,0.5,89.22
6,6,Real Madrid,Spanish Primera Division,2.86,0.49,89.06
7,8,Atletico Madrid,Spanish Primera Division,2.22,0.31,86.46
8,7,Chelsea,Barclays Premier League,2.58,0.51,86.21
9,9,Juventus,Italy Serie A,2.55,0.51,85.93
10,10,RB Leipzig,German Bundesliga,2.56,0.62,83.98
11,11,Leicester City,Barclays Premier League,2.26,0.47,83.69
12,12,Ajax,Dutch Eredivisie,3.08,0.95,83.69
13,13,Tottenham Hotspur,Barclays Premier League,2.53,0.66,82.88
14,14,FC Salzburg,Austrian T-Mobile Bundesliga,2.96,1.0,81.5
15,19,Bayer Leverkusen,German Bundesliga,2.32,0.63,81.01
16,17,Borussia Dortmund,German Bundesliga,2.44,0.72,80.45
17,16,Sevilla FC,Spanish Primera Division,2.13,0.55,80.24
18,15,Manchester United,Barclays Premier League,2.14,0.57,79.77
19,20,Napoli,Italy Serie A,2.24,0.65,79.39
20,18,Internazionale,Italy Serie A,2.37,0.73,79.37
21,25,Getafe,Spanish Primera Division,1.79,0.43,77.71
22,23,FC Porto,Portuguese Liga,2.0,0.58,77.45
23,21,Everton,Barclays Premier League,2.0,0.6,77.05
24,22,Zenit St Petersburg,Russian Premier Liga,2.04,0.63,76.97
25,28,AS Roma,Italy Serie A,2.16,0.72,76.81
26,24,Real Sociedad,Spanish Primera Division,2.07,0.66,76.67
27,26,Benfica,Portuguese Liga,2.19,0.78,75.81
28,32,Atalanta,Italy Serie A,2.29,0.85,75.77
29,27,Arsenal,Barclays Premier League,2.28,0.85,75.68
30,30,Athletic Bilbao,Spanish Primera Division,1.79,0.53,75.37
31,31,Borussia Monchengladbach,German Bundesliga,2.24,0.87,74.71
32,33,Eintracht Frankfurt,German Bundesliga,2.11,0.8,74.15
33,29,Wolverhampton,Barclays Premier League,1.87,0.64,73.96
34,40,Flamengo,Brasileiro Série A,2.09,0.81,73.55
35,34,Lazio,Italy Serie A,2.1,0.84,73.09
36,43,AC Milan,Italy Serie A,1.88,0.69,72.99
37,36,Villarreal,Spanish Primera Division,2.14,0.89,72.44
38,35,VfL Wolfsburg,German Bundesliga,1.87,0.72,72.0
39,38,Valencia,Spanish Primera Division,2.12,0.91,71.94
40,39,Club Brugge,Belgian Jupiler League,1.99,0.82,71.65
41,37,TSG Hoffenheim,German Bundesliga,2.19,0.98,71.5
42,46,Lyon,French Ligue 1,1.92,0.77,71.48
43,48,Osasuna,Spanish Primera Division,1.87,0.74,71.48
44,49,Shakhtar Donetsk,UEFA Champions League,2.18,0.98,71.31
45,42,Burnley,Barclays Premier League,1.92,0.8,70.9
46,50,Crystal Palace,Barclays Premier League,1.86,0.76,70.71
47,44,Schalke 04,German Bundesliga,1.96,0.85,70.43
48,41,Olympiacos,Greek Super League,1.96,0.86,70.34
49,51,Celtic,Scottish Premiership,2.02,0.92,69.88
50,55,Sheffield United,Barclays Premier League,1.78,0.75,69.78
51,45,AZ,Dutch Eredivisie,2.09,0.99,69.57
52,56,FC Krasnodar,Russian Premier Liga,1.89,0.85,69.2
53,53,Lille,French Ligue 1,1.76,0.76,69.1
54,57,Celta Vigo,Spanish Primera Division,1.75,0.76,68.93
55,54,AFC Bournemouth,Barclays Premier League,1.98,0.94,68.83
56,58,Real Betis,Spanish Primera Division,1.92,0.9,68.7
57,52,Eibar,Spanish Primera Division,1.79,0.8,68.68
58,70,Leeds United,English League Championship,1.76,0.78,68.62
59,47,Espanyol,Spanish Primera Division,1.85,0.86,68.29
60,67,Brighton and Hove Albion,Barclays Premier League,1.85,0.86,68.11
61,59,Granada,Spanish Primera Division,1.69,0.74,68.09
62,60,Werder Bremen,German Bundesliga,2.07,1.04,68.09
63,68,Rangers,Scottish Premiership,2.05,1.03,67.89
64,69,Basel,Swiss Raiffeisen Super League,2.09,1.07,67.83
65,61,Fiorentina,Italy Serie A,1.86,0.9,67.43
66,73,Marseille,French Ligue 1,1.76,0.82,67.41
67,76,Aston Villa,Barclays Premier League,1.91,0.94,67.26
68,66,Alavés,Spanish Primera Division,1.75,0.83,67.01
69,71,PAOK Salonika,Greek Super League,1.93,0.98,66.87
70,79,West Ham United,Barclays Premier League,1.93,0.99,66.53
71,80,Dynamo Kiev,UEFA Europa League,1.93,1.0,66.42
72,63,Dinamo Zagreb,UEFA Champions League,2.07,1.12,66.23
73,81,Southampton,Barclays Premier League,1.89,0.98,66.11
74,65,Palmeiras,Brasileiro Série A,1.64,0.78,66.05
75,74,Montpellier,French Ligue 1,1.57,0.74,65.84
76,72,Watford,Barclays Premier League,1.8,0.93,65.76
77,75,River Plate,Argentina Primera Division,1.82,0.95,65.57
78,77,Leganes,Spanish Primera Division,1.59,0.76,65.5
79,83,AS Monaco,French Ligue 1,1.86,1.0,64.98
80,84,Hertha Berlin,German Bundesliga,1.86,1.01,64.86
81,64,Young Boys,Swiss Raiffeisen Super League,2.28,1.37,64.63
82,82,Strasbourg,French Ligue 1,1.61,0.81,64.6
